size,num_threads,mat_autoAdd,addMatrices,multMatByNum,multMatrices,matByVec
100,1,14.100000,11.800000,9.000000,9051.000000,89.000000
100,2,22.800000,12.500000,9.100000,6284.600000,61.600000
100,4,6.600000,6.300000,5.000000,3201.400000,40.700000
100,6,6.300000,6.300000,5.300000,2510.300000,27.300000
100,8,6.100000,6.300000,4.900000,2036.400000,27.800000
100,12,6.000000,5.400000,4.800000,1492.100000,19.900000
100,16,8.300000,6.500000,6.000000,1611.000000,31.200000
100,20,9.000000,7.400000,6.700000,1443.300000,21.700000
100,26,11.300000,8.400000,7.900000,775.300000,14.600000
100,32,12.900000,8.700000,8.700000,1321.900000,30.200000
200,1,57.100000,45.000000,36.000000,42182.300000,209.000000
200,2,31.100000,25.900000,20.000000,27846.700000,138.000000
200,4,17.500000,15.200000,11.600000,14042.600000,71.600000
200,6,16.500000,11.300000,9.000000,10143.900000,53.900000
200,8,11.400000,10.300000,7.800000,8282.300000,46.200000
200,12,9.600000,8.800000,6.400000,4595.400000,26.000000
200,16,10.300000,11.300000,8.600000,6746.900000,37.800000
200,20,10.700000,11.100000,8.100000,6072.200000,36.500000
200,26,12.100000,10.300000,8.500000,5690.300000,35.100000
200,32,13.200000,11.500000,9.000000,4300.400000,30.800000
400,1,229.800000,176.300000,146.500000,224161.700000,530.000000
400,2,131.800000,105.200000,74.100000,137100.300000,333.600000
400,4,61.000000,50.700000,38.400000,69835.600000,172.400000
400,6,42.600000,37.600000,26.700000,40641.300000,124.200000
400,8,32.900000,40.000000,31.300000,36957.500000,96.700000
400,12,26.400000,36.800000,25.800000,32022.200000,83.300000
400,16,22.600000,30.100000,21.100000,21326.100000,46.600000
400,20,22.400000,29.100000,19.000000,24990.000000,70.300000
400,26,19.100000,22.300000,16.300000,22818.700000,65.000000
400,32,20.400000,23.000000,15.300000,22051.700000,65.800000
800,1,921.800000,813.400000,585.200000,1283857.900000,1523.800000
800,2,491.400000,442.600000,290.100000,734685.600000,886.500000
800,4,241.700000,395.300000,263.600000,379151.200000,449.300000
800,6,159.800000,150.200000,102.700000,253377.800000,306.900000
800,8,124.700000,116.900000,75.800000,193982.800000,235.800000
800,12,92.100000,144.400000,90.500000,142085.700000,182.700000
800,16,67.000000,103.100000,69.200000,125538.700000,158.200000
800,20,59.000000,57.700000,35.000000,110829.500000,146.200000
800,26,47.100000,71.900000,46.300000,135999.100000,137.300000
800,32,54.100000,75.100000,41.100000,122966.800000,103.600000
1600,1,3763.600000,4706.400000,3283.900000,17076517.500000,4953.400000
1600,2,1885.500000,2538.300000,1469.600000,8825249.500000,2666.000000
1600,4,969.300000,2392.600000,1317.800000,4485134.500000,1351.100000
1600,6,646.400000,1566.300000,850.500000,2955260.700000,902.200000
1600,8,483.500000,891.700000,479.700000,2293594.900000,682.000000
1600,12,342.500000,795.900000,339.100000,1496993.400000,463.700000
1600,16,277.400000,994.600000,422.300000,1155582.700000,425.400000
1600,20,225.500000,645.600000,265.000000,963731.700000,358.700000
1600,26,198.200000,793.700000,276.300000,874468.700000,295.700000
1600,32,174.800000,735.100000,237.000000,875310.200000,274.000000